yyyyddd,Central_Arctic
2016286,3112621.66
2016287,3109420.07
2016288,3109420.07
2016289,3129363.28
2016290,3151197.8
2016291,3133482.72
2016292,3160788.53
2016293,3169127.6
2016294,3186373.29
2016295,3191860.15
2016296,3189205.65
2016297,3181400.13
2016298,3188128.29
2016299,3196942.97
2016300,3182918.38
2016301,3180140.69
2016302,3172857.63
2016303,3152894.25
2016304,3142837.44
2016305,3154550.12
2016306,3162756.19
2016307,3169539.73
2016308,3160087.95
2016309,3152872.55
2016310,3154223.24
2016311,3172090.64
2016312,3189778.44
2016313,3175035.32
2016314,3175035.32
2016315,3132913.22
2016316,3124897.37
2016317,3129253.77
2016318,3132990.47
2016319,3124557.93
2016320,3112065.7
2016321,3076827.28
2016322,3035308.85
2016323,3036628.46
2016324,2951896.35
2016325,3037305.34
2016326,3011533.03
2016327,3051716.98
2016328,3041602.45
2016329,3080726.03
2016330,3121271.04
2016331,3129416.53
2016332,3133173.52
2016333,3139102.56
2016334,3144170.03
2016335,3158159.99
2016336,3162596.85
2016337,3182446.25
2016338,3168475.41
2016339,3168475.41
2016340,3168475.41
2016341,3170525.15
2016342,3188940.32
2016343,3191413.55
2016344,3193284.1
2016345,3193085.28
2016346,3203731.9
2016347,3199276.06
2016348,3201079.53
2016349,3190116.13
2016350,3183085.79
2016351,3181297.49
2016352,3179369.08
2016353,3184527.91
2016354,3185499.42
2016355,3148374.51
2016356,3148374.51
2016357,3157303.02
2016358,3134600.53
2016359,3048152.58
2016360,3038771.02
2016361,3063627.58
2016362,3063627.58
2016363,3103934.05
2016364,3115870
2016365,3097256.59
2016366,3091201.03
2017001,3085374.72
2017002,3090391.08
2017003,3114485.2
2017004,3122875.1
2017005,3135937.72
2017006,3135122.63
2017007,3119103.92
2017008,3125247.27
2017009,3143385.11
2017010,3151136.13
2017011,3144952.82
2017012,3159181.77
2017013,3159181.77
2017014,3164919.02
2017015,3164919.02
2017016,3162478.2
2017017,3162478.2
2017018,3123252.42
2017019,3127495.55
2017020,3118092.45
2017021,3126089.41
2017022,3112168.55
2017023,3145333.27
2017024,3147783.5
2017025,3138280.33
2017026,3137621.53
2017027,3112359.76
2017028,3116650.83
2017029,3125862.39
2017030,3152184.91
2017031,3233155.62
2017032,3238221.11
2017033,3217817.72
2017034,3240507.15
2017035,3212027.9
2017036,3195540.32
2017037,3191580.02
2017038,3212155.69
2017039,3211333
2017040,3219744.8
2017041,3230597.18
2017042,3227894.79
2017043,3212083.96
2017044,3210002.57
2017045,3216671.38
2017046,3221635.26
2017047,3218899.39
2017048,3218292
2017049,3225344.25
2017050,3239977.6
2017051,3239977.6
2017052,3239977.6
2017053,3239977.6
2017054,3239987.8
2017055,3154720.54
2017056,3204581.71
2017057,3218526.24
2017058,3218773.18
2017059,3224974.28
2017060,3224974.28
2017061,3224974.28
2017062,3225060.32
2017063,3224279.5
2017064,3224279.5
2017065,3224279.5
2017066,3224279.5
2017067,3241659.77
2017068,3241376.31
2017069,3241376.31
2017070,3241637.01
2017071,3241637.01
2017072,3243531.19
2017073,3243531.19
2017074,3243531.19
2017075,3245522.92
2017076,3247668.62
2017077,3247668.62
2017078,3249287.47
2017079,3247321.6
2017080,3247321.6
2017081,3247321.6
2017082,3247934.81
2017083,3247934.81
2017084,3247934.81
2017085,3249277.24
2017086,3249277.24
2017087,3249277.24
2017088,3249277.24
2017089,3249277.24
2017090,3249277.24
2017091,3249295.33
2017092,3249295.33
2017093,3249295.33
2017094,3249063.74
2017095,3249063.74
2017096,3249063.74
2017097,3249063.74
2017098,3249063.74
2017099,3249295.33
2017100,3249295.33
2017101,3248389.33
2017102,3248389.33
2017103,3248160.64
2017104,3248160.64
2017105,3248817.02
2017106,3249161.99
2017107,3249161.99
2017108,3249161.99
2017109,3249161.99
2017110,3249148.27
2017111,3248554.15
2017112,3247588.92
2017113,3246919.84
2017114,3247906.35
2017115,3249295.33
2017116,3249295.33
2017117,3249295.33
2017118,3249295.33
2017119,3249295.33
2017120,3249295.33
2017121,3249295.33
2017122,3249295.33
2017123,3249295.33
2017124,3249295.33
2017125,3248795.4
2017126,3248795.4
2017127,3248795.4
2017128,3248795.4
2017129,3248795.4
2017130,3248012.01
2017131,3249305.56
2017132,3249305.56
2017133,3249004.83
2017134,3249004.83
2017135,3249004.83
2017136,3249004.83
2017137,3249004.83
2017138,3249004.83
2017139,3248885.05
2017140,3248885.05
2017141,3248885.05
2017142,3248337.56
2017143,3248846.65
2017144,3248845.52
2017145,3248993.48
2017146,3248993.48
2017147,3248993.48
2017148,3249002.57
2017149,3248479.54
2017150,3247671.13
2017151,3247495.62
2017152,3246819.68
2017153,3228669.17
2017154,3231205.55
2017155,3236029.29
2017156,3236682.43
2017157,3238017.25
2017158,3239139.93
2017159,3242032.45
2017160,3242252.31
2017161,3242897.33
2017162,3238649.81
2017163,3239230.99
2017164,3237309.08
2017165,3233481.49
2017166,3233170.86
2017167,3242662.18
2017168,3242155.64
2017169,3241793.29
2017170,3245190.16
2017171,3245988.59
2017172,3246020.36
2017173,3246020.36
2017174,3246889.07
2017175,3248714.07
2017176,3248042.87
2017177,3248042.87
2017178,3247283.15
2017179,3247706.52
2017180,3246644.93
2017181,3246313.87
2017182,3246225.32
2017183,3246476.33
2017184,3245639.3
2017185,3245241.63
2017186,3244733.3
2017187,3244028.54
2017188,3244231.25
2017189,3244903.1
2017190,3244378.03
2017191,3244524.12
2017192,3243315.96
2017193,3243030.93
2017194,3243737.5
2017195,3241474.99
2017196,3235015.22
2017197,3231517.61
2017198,3231796.15
2017199,3224171.54
2017200,3222335.94
2017201,3218940.66
2017202,3215225.39
2017203,3216888.35
2017204,3214915.26
2017205,3212801.06
2017206,3214662.73
2017207,3215193.45
2017208,3217154.36
2017209,3217473.99
2017210,3218617.67
2017211,3218683.95
2017212,3213876.66
2017213,3214561.25
2017214,3214484.8
2017215,3214961.72
2017216,3224220.42
2017217,3225946.52
2017218,3223479.19
2017219,3224146.49
2017220,3219338.92
2017221,3217159.94
2017222,3223259.55
2017223,3220324.96
2017224,3215719.83
2017225,3205454.6
2017226,3199254.61
2017227,3195617.99
2017228,3194330.92
2017229,3195703.81
2017230,3194985.15
2017231,3185307.48
2017232,3176176.82
2017233,3177860.19
2017234,3175799.81
2017235,3173665.47
2017236,3185620.82
2017237,3188991.95
2017238,3184987.63
2017239,3180037.65
2017240,3182207.9
2017241,3179251.29
2017242,3155481.68
2017243,3135860.48
2017244,3135741.95
2017245,3136973.52
2017246,3134297.28
2017247,3129790.14
2017248,3120833.57
2017249,3117610.29
2017250,3122059.55
2017251,3112636.79
2017252,3091875.05
2017253,3087217
2017254,3090724.53
2017255,3089874.08
2017256,3081559.53
2017257,3071613.38
2017258,3070030.86
2017259,3071263.67
2017260,3065311.51
2017261,3063514.18
2017262,3059264.96
2017263,3055240.98
2017264,3090651.05
2017265,3110297.74
2017266,3117491.17
2017267,3131653.11
2017268,3148872.64
2017269,3149869.37
2017270,3139964.68
2017271,3134177.46
2017272,3142772.13
2017273,3142805.67
2017274,3144049.29
2017275,3142719.13
2017276,3136566.91
2017277,3131412.65
2017278,3120938.1
2017279,3125347.9
2017280,3142159.36
2017281,3149422.88
2017282,3155056.19
2017283,3162496.69
2017284,3169335.22
2017285,3174294.95
2017286,3174294.95
2017287,3173666.74
2017288,3153388.23
2017289,3139875.78
2017290,3119731.23
2017291,3109648.67
2017292,3127112.34
2017293,3133395.52
2017294,3146612.41
2017295,3158452.38
2017296,3155789.21
2017297,3147989.08
2017298,3163507.86
2017299,3178237.58
2017300,3177463.96
2017301,3170049.46
2017302,3159222.93
2017303,3153210.75
2017304,3166567.44
2017305,3159057.52
2017306,3171584.07
2017309,3177467.16
2017310,3174770.03
2017311,3169844.44
2017312,3179794.86
2017313,3185259.55
2017314,3174232.53
2017315,3169777.47
2017316,3166399.94
2017317,3165256.92
2017318,3167478.49
2017319,3154984.57
2017320,3157579.08
2017321,3157832.51
2017322,3166361.73
2017323,3163347.17
2017324,3164165.47
2017325,3173469.1
2017326,3175283.95
2017327,3175138.76
2017328,3179767.26
2017329,3182852.2
2017330,3183231.03
2017331,3186954.65
2017332,3182965.7
2017333,3188643.47
