y_true,y_pre
0.20651937,0.22499655
0.21264493,0.22952797
0.2181142,0.23751333
0.2203019,0.24206519
0.23627216,0.24481535
0.24611682,0.26530847
0.24589805,0.26830164
0.25508642,0.26830164
0.2603369,0.27989623
0.28177643,0.28108838
0.29555896,0.30473217
0.30890396,0.31544018
0.31065413,0.33035326
0.31656092,0.33035326
0.3351564,0.3375132
0.36447167,0.35495824
0.3789105,0.38134313
0.37716037,0.39564672
0.38831764,0.39564672
0.4014439,0.39900792
0.4331656,0.40908358
0.43950996,0.4438549
0.46029314,0.44648173
0.47757602,0.46624398
0.49092102,0.4854035
0.4948589,0.49855086
0.5051411,0.50335324
0.52789325,0.51255715
0.5534894,0.5346647
0.5683658,0.55816805
0.5690221,0.5706551
0.5865237,0.5706551
0.6132137,0.58991724
0.6226209,0.60928947
0.6221833,0.615419
0.634872,0.615419
0.6484358,0.62909013
0.6609057,0.639939
0.672063,0.6494239
0.6867206,0.6622049
0.6974404,0.67598176
0.6994093,0.6868025
0.7077226,0.68596065
0.7158171,0.69295335
0.73200613,0.7016387
0.7374754,0.71411556
0.7394443,0.7201923
0.7481952,0.7194837
0.76941586,0.7280817
0.7691971,0.74756694
0.7632903,0.74756694
0.76372784,0.74275917
0.76744694,0.74275917
0.771166,0.74756694
0.7685408,0.7510544
0.771166,0.74756694
0.77204114,0.7510544
0.77138484,0.7510544
0.77466637,0.7510544
0.76307154,0.7510544
0.7475388,0.74275917
0.7534456,0.7280817
0.76132137,0.73161536
0.76132137,0.74275917
0.7411945,0.74275917
0.7366003,0.7222617
0.73463136,0.7153903
0.7083789,0.7153903
0.7077226,0.6882138
0.7195362,0.6882138
0.7053161,0.70133185
0.6810326,0.683953
0.674907,0.66154176
0.66659373,0.6559315
0.65478015,0.6491925
0.627215,0.6408204
0.6132137,0.6084414
0.61299497,0.59693277
0.5992124,0.59693277
0.5878364,0.587509
0.57361627,0.57756054
0.55764604,0.56416714
0.5410195,0.54581136
0.5394881,0.53340054
0.52658063,0.53340054
0.5127981,0.5203237
0.4896084,0.5097181
0.47429445,0.48325974
0.47363815,0.46998355
0.45263618,0.46998355
0.43600962,0.44384938
0.42244586,0.4334621
0.41369504,0.41832504
0.4095384,0.41268167
0.39269307,0.40800086
0.367972,0.3966316
0.35397068,0.3718525
0.35375193,0.36185887
0.34740758,0.36185887
0.32881206,0.35339645
0.3233428,0.33890072
0.30015314,0.33613703
0.28833953,0.31672364
0.27915117,0.30269277
0.26952526,0.28995293
0.25618026,0.28716928
0.25574273,0.27471188
0.24305403,0.27471188
0.24130388,0.2609315
0.22752133,0.2609315
0.20958215,0.24724212
0.20936337,0.23193641
0.20980091,0.23193641
0.20542552,0.23193641
0.18879895,0.22816558
0.18858019,0.2126222
0.18639247,0.2126222
0.18311092,0.2126222
0.18311092,0.20608032
0.18311092,0.20608032
0.17348501,0.20608032
0.16823453,0.19937454
0.18114199,0.1958041
0.18092321,0.20608032
0.18573616,0.20608032
0.18595493,0.2126222
0.18507986,0.2126222
0.18486108,0.2126222
0.19536206,0.2126222
0.19711223,0.21821159
0.20236272,0.22343016
0.20892584,0.22499655
0.21964559,0.2332988
0.23408444,0.24206519
0.24896084,0.26015154
0.2603369,0.27329668
0.26493108,0.28108838
0.27565083,0.28382167
0.29621527,0.29580173
0.31262305,0.31544018
0.3345001,0.33035326
0.3443448,0.3524533
0.3568147,0.36569536
0.3789105,0.3741578
0.4021002,0.39564672
0.41938308,0.41189316
0.43863487,0.4294721
0.46619996,0.44648173
0.75300807,0.47703826
0.76810324,0.73389953
0.76875955,0.74756694
0.7742288,0.74756694
0.78516734,0.7510544
0.76525927,0.75968224
0.778823,0.74275917
0.7794793,0.755975
0.76569676,0.755975
0.7700722,0.74756694
0.77182233,0.74756694
0.7571647,0.7510544
0.7573835,0.7345373
0.7571647,0.7345373
0.7442573,0.7345373
0.73463136,0.7238562
0.7304747,0.7153903
0.7201925,0.7109764
0.7094728,0.70133185
0.6961278,0.6882138
0.6943776,0.68052906
0.69153357,0.6787474
0.66746885,0.67255646
0.6543426,0.6491925
0.6484358,0.6375976
0.6357471,0.6326799
0.621527,0.6211449
0.615839,0.6039506
0.59089917,0.6027093
0.57689786,0.5786086
0.56792825,0.57109976
0.53992563,0.5582984
0.5257055,0.53340054
0.5259243,0.5203237
0.5097353,0.5203237
0.48632684,0.50317067
0.47079414,0.48198798
0.4672938,0.46303296
0.44476044,0.46303296
0.4340407,0.44384938
0.41741413,0.4298496
0.40341282,0.4176342
0.39269307,0.40406147
0.3740976,0.3966316
0.35965872,0.37819672
0.3485014,0.3690442
0.33953184,0.3576895
