y_true,y_pre
0.18858019,0.18525347
0.18639247,0.18428911
0.18311092,0.18428911
0.18311092,0.17759702
0.18311092,0.1795209
0.17348501,0.18038446
0.16823453,0.17318739
0.18114199,0.16722502
0.18092321,0.18038446
0.18573616,0.18447238
0.18595493,0.19163723
0.18507986,0.19184448
0.18486108,0.19201255
0.19536206,0.19233091
0.19711223,0.19926189
0.20236272,0.206128
0.20892584,0.20948043
0.21964559,0.2191947
0.23408444,0.22713543
0.24896084,0.24867637
0.2603369,0.26330006
0.26493108,0.27484983
0.27565083,0.28092518
0.29621527,0.29141366
0.31262305,0.31263888
0.3345001,0.32787523
0.3443448,0.34830603
0.3568147,0.3615076
0.3789105,0.3720855
0.4021002,0.39591524
0.41938308,0.4172521
0.43863487,0.438166
0.46619996,0.45431638
0.75300807,0.48517454
0.76810324,0.7527758
0.76875955,0.77152973
0.7742288,0.7758679
0.78516734,0.77894
0.76525927,0.78844625
0.778823,0.77153444
0.7794793,0.7832847
0.76569676,0.7832534
0.7700722,0.7745581
0.77182233,0.76741165
0.7571647,0.76882046
0.7573835,0.7502609
0.7571647,0.74683416
0.7442573,0.7441913
0.73463136,0.7386929
0.7304747,0.7234142
0.7201925,0.7183917
0.7094728,0.7107214
0.6961278,0.6974669
0.6943776,0.68694675
0.69153357,0.6856859
0.66746885,0.6782551
0.6543426,0.6525911
0.6484358,0.6388682
0.6357471,0.6328154
0.621527,0.62290424
0.615839,0.60667187
0.59089917,0.60379547
0.57689786,0.5774185
0.56792825,0.5652693
0.53992563,0.5540952
0.5257055,0.5254298
0.5259243,0.5104422
0.5097353,0.5111871
0.48632684,0.49455708
0.47079414,0.47449556
0.4672938,0.45392847
0.44476044,0.4529364
0.4340407,0.4344332
0.41741413,0.42191944
0.40341282,0.40714544
0.39269307,0.3909622
0.3740976,0.38395837
0.35965872,0.36530942
0.3485014,0.35234946
0.33953184,0.3391904
0.3248742,0.33013925
0.3189674,0.31542298
0.3043098,0.3079153
0.28768322,0.29424477
0.27324438,0.27915657
0.2603369,0.26647407
0.25508642,0.25320128
0.24786699,0.25160092
0.2277401,0.24351716
0.21745789,0.221673
0.21155109,0.21277066
0.19908117,0.20731546
0.18726756,0.1956244
0.183986,0.1834267
0.18114199,0.18115859
0.17042223,0.17626184
0.15904616,0.16812746
0.15926494,0.15607542
0.15926494,0.15661466
0.14657624,0.15661466
0.1424196,0.14500986
0.13738789,0.13967994
0.13695034,0.13599768
0.13716911,0.13644136
0.13432509,0.13680215
0.13345002,0.13695076
0.1327937,0.13381445
0.13323124,0.13381445
0.13848174,0.13381445
0.15029535,0.14415522
0.1542332,0.16050537
0.15379567,0.16330235
0.16079633,0.16330235
0.1765478,0.16905344
